police_station_id,station_name,police_staff,inspector_id,station_pincode,no_of_cases
H7-001478,ST-2,17,SI-12547,485715,47
T1-103219,ST-3,38,SI-12548,485717,49
T1-103220,ST-4,16,SI-12549,485719,51
T1-103221,ST-5,17,SI-12550,485721,53
T1-103222,ST-6,19,SI-12551,485723,55
T1-103223,ST-7,13,SI-12552,485725,57
T1-103224,ST-8,37,SI-12553,485727,59
T1-103225,ST-9,31,SI-12554,485729,61
T1-103226,ST-10,13,SI-12555,485731,63
T1-103227,ST-11,16,SI-12556,485733,65
T1-103228,ST-12,13,SI-12557,485735,67
T1-103229,ST-13,34,SI-12558,485737,69
T1-103230,ST-14,27,SI-12559,485739,71
T1-103231,ST-15,16,SI-12560,485741,73
T1-103232,ST-16,12,SI-12561,485743,75
T1-103233,ST-17,24,SI-12562,485745,77
T1-103234,ST-18,23,SI-12563,485747,79
T1-103235,ST-19,21,SI-12564,485749,81
T1-103236,ST-20,21,SI-12565,485751,83
T1-103237,ST-21,13,SI-12566,485753,85
T1-103238,ST-22,39,SI-12567,485755,87
T1-103239,ST-23,37,SI-12568,485757,89
T1-103240,ST-24,25,SI-12569,485759,91
T1-103241,ST-25,18,SI-12570,485761,93
T1-103242,ST-26,32,SI-12571,485763,95
T1-103243,ST-27,13,SI-12572,485765,97
T1-103244,ST-28,36,SI-12573,485767,99
T1-103245,ST-29,23,SI-12574,485769,101
T1-103246,ST-30,39,SI-12575,485771,103
T1-103247,ST-31,39,SI-12576,485773,105
T1-103248,ST-32,20,SI-12577,485775,107
T1-103249,ST-33,26,SI-12578,485777,109
T1-103250,ST-34,23,SI-12579,485779,111
T1-103251,ST-35,40,SI-12580,485781,113
T1-103252,ST-36,14,SI-12581,485783,115
T1-103253,ST-37,21,SI-12582,485785,117
T1-103254,ST-38,30,SI-12583,485787,119
T1-103255,ST-39,12,SI-12584,485789,121
T1-103256,ST-40,23,SI-12585,485791,123
T1-103257,ST-41,31,SI-12586,485793,125
T1-103258,ST-42,16,SI-12587,485795,127
T1-103259,ST-43,38,SI-12588,485797,129
T1-103260,ST-44,14,SI-12589,485799,131
T1-103261,ST-45,17,SI-12590,485801,133
T1-103262,ST-46,19,SI-12591,485803,135
T1-103263,ST-47,33,SI-12592,485805,137
T1-103264,ST-48,23,SI-12593,485807,139
T1-103265,ST-49,18,SI-12594,485809,141
T1-103266,ST-50,22,SI-12595,485811,143
T1-103267,ST-51,23,SI-12596,485813,145
T1-103268,ST-52,23,SI-12597,485815,147
T1-103269,ST-53,24,SI-12598,485817,149
T1-103270,ST-54,20,SI-12599,485819,151
T1-103271,ST-55,16,SI-12600,485821,153
T1-103272,ST-56,36,SI-12601,485823,155
T1-103273,ST-57,17,SI-12602,485825,157
T1-103274,ST-58,19,SI-12603,485827,159
T1-103275,ST-59,21,SI-12604,485829,161
T1-103276,ST-60,21,SI-12605,485831,163
T1-103277,ST-61,20,SI-12606,485833,165
T1-103278,ST-62,28,SI-12607,485835,167
T1-103279,ST-63,39,SI-12608,485837,169
T1-103280,ST-64,28,SI-12609,485839,171
T1-103281,ST-65,23,SI-12610,485841,173
T1-103282,ST-66,30,SI-12611,485843,175
T1-103283,ST-67,23,SI-12612,485845,177
T1-103284,ST-68,13,SI-12613,485847,179
T1-103285,ST-69,23,SI-12614,485849,181
T1-103286,ST-70,14,SI-12615,485851,183
T1-103287,ST-71,20,SI-12616,485853,185
T1-103288,ST-72,19,SI-12617,485855,187
T1-103289,ST-73,26,SI-12618,485857,189
T1-103290,ST-74,16,SI-12619,485859,191
T1-103291,ST-75,37,SI-12620,485861,193
T1-103292,ST-76,22,SI-12621,485863,195
T1-103293,ST-77,20,SI-12622,485865,197
T1-103294,ST-78,39,SI-12623,485867,199
T1-103295,ST-79,13,SI-12624,485869,201
T1-103296,ST-80,28,SI-12625,485871,203
T1-103297,ST-81,25,SI-12626,485873,205
T1-103298,ST-82,19,SI-12627,485875,207
T1-103299,ST-83,14,SI-12628,485877,209
T1-103300,ST-84,14,SI-12629,485879,211
T1-103301,ST-85,23,SI-12630,485881,213
T1-103302,ST-86,20,SI-12631,485883,215
T1-103303,ST-87,37,SI-12632,485885,217
T1-103304,ST-88,25,SI-12633,485887,219
T1-103305,ST-89,17,SI-12634,485889,221
T1-103306,ST-90,17,SI-12635,485891,223
T1-103307,ST-91,34,SI-12636,485893,225
T1-103308,ST-92,23,SI-12637,485895,227
T1-103309,ST-93,36,SI-12638,485897,229
T1-103310,ST-94,32,SI-12639,485899,231
T1-103311,ST-95,17,SI-12640,485901,233
T1-103312,ST-96,20,SI-12641,485903,235
T1-103313,ST-97,20,SI-12642,485905,237
T1-103314,ST-98,25,SI-12643,485907,239
T1-103315,ST-99,30,SI-12644,485909,241
T1-103316,ST-100,38,SI-12645,485911,243
T1-103317,ST-101,35,SI-12646,485913,245
T1-103318,ST-102,19,SI-12647,485915,247
T1-103319,ST-103,25,SI-12648,485917,249
T1-103320,ST-104,27,SI-12649,485919,251
T1-103321,ST-105,12,SI-12650,485921,253
T1-103322,ST-106,38,SI-12651,485923,255
T1-103323,ST-107,33,SI-12652,485925,257
T1-103324,ST-108,30,SI-12653,485927,259
T1-103325,ST-109,39,SI-12654,485929,261
T1-103326,ST-110,17,SI-12655,485931,263
T1-103327,ST-111,15,SI-12656,485933,265
T1-103328,ST-112,16,SI-12657,485935,267
T1-103329,ST-113,21,SI-12658,485937,269
T1-103330,ST-114,12,SI-12659,485939,271
T1-103331,ST-115,16,SI-12660,485941,273
T1-103332,ST-116,14,SI-12661,485943,275
T1-103333,ST-117,34,SI-12662,485945,277
T1-103334,ST-118,35,SI-12663,485947,279
T1-103335,ST-119,22,SI-12664,485949,281
T1-103336,ST-120,38,SI-12665,485951,283
T1-103337,ST-121,28,SI-12666,485953,285
T1-103338,ST-122,36,SI-12667,485955,287
T1-103339,ST-123,33,SI-12668,485957,289
T1-103340,ST-124,32,SI-12669,485959,291
T1-103341,ST-125,34,SI-12670,485961,293
T1-103342,ST-126,23,SI-12671,485963,295
T1-103343,ST-127,24,SI-12672,485965,297
T1-103344,ST-128,23,SI-12673,485967,299
T1-103345,ST-129,15,SI-12674,485969,301
T1-103346,ST-130,29,SI-12675,485971,303
T1-103347,ST-131,36,SI-12676,485973,305
T1-103348,ST-132,35,SI-12677,485975,307
T1-103349,ST-133,13,SI-12678,485977,309
T1-103350,ST-134,36,SI-12679,485979,311
T1-103351,ST-135,32,SI-12680,485981,313
T1-103352,ST-136,34,SI-12681,485983,315
T1-103353,ST-137,15,SI-12682,485985,317
T1-103354,ST-138,31,SI-12683,485987,319
T1-103355,ST-139,14,SI-12684,485989,321
T1-103356,ST-140,34,SI-12685,485991,323
T1-103357,ST-141,22,SI-12686,485993,325
T1-103358,ST-142,15,SI-12687,485995,327
T1-103359,ST-143,24,SI-12688,485997,329
T1-103360,ST-144,12,SI-12689,485999,331
T1-103361,ST-145,25,SI-12690,486001,333
T1-103362,ST-146,39,SI-12691,486003,335
T1-103363,ST-147,29,SI-12692,486005,337
T1-103364,ST-148,40,SI-12693,486007,339
T1-103365,ST-149,29,SI-12694,486009,341
T1-103366,ST-150,39,SI-12695,486011,343
T1-103367,ST-151,39,SI-12696,486013,345
T1-103368,ST-152,36,SI-12697,486015,347
T1-103369,ST-153,23,SI-12698,486017,349
T1-103370,ST-154,12,SI-12699,486019,351
T1-103371,ST-155,40,SI-12700,486021,353
T1-103372,ST-156,14,SI-12701,486023,355
T1-103373,ST-157,25,SI-12702,486025,357
T1-103374,ST-158,19,SI-12703,486027,359
T1-103375,ST-159,36,SI-12704,486029,361
T1-103376,ST-160,17,SI-12705,486031,363
T1-103377,ST-161,24,SI-12706,486033,365
T1-103378,ST-162,27,SI-12707,486035,367
T1-103379,ST-163,15,SI-12708,486037,369
T1-103380,ST-164,20,SI-12709,486039,371
T1-103381,ST-165,34,SI-12710,486041,373
T1-103382,ST-166,36,SI-12711,486043,375
T1-103383,ST-167,21,SI-12712,486045,377
T1-103384,ST-168,36,SI-12713,486047,379
T1-103385,ST-169,22,SI-12714,486049,381
T1-103386,ST-170,16,SI-12715,486051,383
T1-103387,ST-171,28,SI-12716,486053,385
T1-103388,ST-172,22,SI-12717,486055,387
T1-103389,ST-173,18,SI-12718,486057,389
T1-103390,ST-174,15,SI-12719,486059,391
T1-103391,ST-175,30,SI-12720,486061,393
T1-103392,ST-176,37,SI-12721,486063,395
T1-103393,ST-177,32,SI-12722,486065,397
T1-103394,ST-178,33,SI-12723,486067,399
T1-103395,ST-179,28,SI-12724,486069,401
T1-103396,ST-180,32,SI-12725,486071,403
T1-103397,ST-181,24,SI-12726,486073,405
T1-103398,ST-182,25,SI-12727,486075,407
T1-103399,ST-183,23,SI-12728,486077,409
T1-103400,ST-184,14,SI-12729,486079,411
T1-103401,ST-185,36,SI-12730,486081,413
T1-103402,ST-186,25,SI-12731,486083,415
T1-103403,ST-187,13,SI-12732,486085,417
T1-103404,ST-188,32,SI-12733,486087,419
T1-103405,ST-189,19,SI-12734,486089,421
T1-103406,ST-190,24,SI-12735,486091,423
T1-103407,ST-191,31,SI-12736,486093,425
T1-103408,ST-192,29,SI-12737,486095,427
T1-103409,ST-193,24,SI-12738,486097,429
T1-103410,ST-194,21,SI-12739,486099,431
T1-103411,ST-195,38,SI-12740,486101,433
T1-103412,ST-196,26,SI-12741,486103,435
T1-103413,ST-197,39,SI-12742,486105,437
T1-103414,ST-198,21,SI-12743,486107,439
T1-103415,ST-199,30,SI-12744,486109,441
T1-103416,ST-200,20,SI-12745,486111,443
T1-103417,ST-201,28,SI-12746,486113,445
T1-103418,ST-202,32,SI-12747,486115,447
T1-103419,ST-203,13,SI-12748,486117,449
T1-103420,ST-204,25,SI-12749,486119,451
T1-103421,ST-205,16,SI-12750,486121,453
T1-103422,ST-206,12,SI-12751,486123,455
T1-103423,ST-207,30,SI-12752,486125,457
T1-103424,ST-208,20,SI-12753,486127,459
T1-103425,ST-209,37,SI-12754,486129,461
T1-103426,ST-210,27,SI-12755,486131,463
T1-103427,ST-211,35,SI-12756,486133,465
T1-103428,ST-212,19,SI-12757,486135,467
T1-103429,ST-213,36,SI-12758,486137,469
T1-103430,ST-214,32,SI-12759,486139,471
T1-103431,ST-215,18,SI-12760,486141,473
T1-103432,ST-216,26,SI-12761,486143,475
T1-103433,ST-217,38,SI-12762,486145,477
T1-103434,ST-218,18,SI-12763,486147,479
T1-103435,ST-219,29,SI-12764,486149,481
T1-103436,ST-220,40,SI-12765,486151,483
T1-103437,ST-221,32,SI-12766,486153,485
T1-103438,ST-222,13,SI-12767,486155,487
T1-103439,ST-223,18,SI-12768,486157,489
T1-103440,ST-224,30,SI-12769,486159,491
T1-103441,ST-225,30,SI-12770,486161,493
T1-103442,ST-226,37,SI-12771,486163,495
T1-103443,ST-227,33,SI-12772,486165,497
T1-103444,ST-228,28,SI-12773,486167,499
T1-103445,ST-229,21,SI-12774,486169,501
T1-103446,ST-230,23,SI-12775,486171,503
T1-103447,ST-231,26,SI-12776,486173,505
T1-103448,ST-232,37,SI-12777,486175,507
T1-103449,ST-233,15,SI-12778,486177,509
T1-103450,ST-234,12,SI-12779,486179,511
T1-103451,ST-235,15,SI-12780,486181,513
T1-103452,ST-236,24,SI-12781,486183,515
T1-103453,ST-237,39,SI-12782,486185,517
T1-103454,ST-238,20,SI-12783,486187,519
T1-103455,ST-239,20,SI-12784,486189,521
T1-103456,ST-240,36,SI-12785,486191,523
T1-103457,ST-241,29,SI-12786,486193,525
T1-103458,ST-242,18,SI-12787,486195,527
T1-103459,ST-243,17,SI-12788,486197,529
T1-103460,ST-244,32,SI-12789,486199,531
T1-103461,ST-245,35,SI-12790,486201,533
T1-103462,ST-246,37,SI-12791,486203,535
T1-103463,ST-247,16,SI-12792,486205,537
T1-103464,ST-248,31,SI-12793,486207,539
T1-103465,ST-249,40,SI-12794,486209,541
T1-103466,ST-250,37,SI-12795,486211,543
T1-103467,ST-251,18,SI-12796,486213,545
T1-103468,ST-252,20,SI-12797,486215,547
T1-103469,ST-253,18,SI-12798,486217,549
T1-103470,ST-254,30,SI-12799,486219,551
T1-103471,ST-255,40,SI-12800,486221,553
T1-103472,ST-256,13,SI-12801,486223,555
T1-103473,ST-257,29,SI-12802,486225,557
T1-103474,ST-258,27,SI-12803,486227,559
T1-103475,ST-259,37,SI-12804,486229,561
T1-103476,ST-260,25,SI-12805,486231,563
T1-103477,ST-261,35,SI-12806,486233,565
T1-103478,ST-262,31,SI-12807,486235,567
T1-103479,ST-263,39,SI-12808,486237,569
T1-103480,ST-264,31,SI-12809,486239,571
T1-103481,ST-265,34,SI-12810,486241,573
T1-103482,ST-266,16,SI-12811,486243,575
T1-103483,ST-267,17,SI-12812,486245,577
T1-103484,ST-268,38,SI-12813,486247,579
T1-103485,ST-269,36,SI-12814,486249,581
T1-103486,ST-270,37,SI-12815,486251,583
T1-103487,ST-271,34,SI-12816,486253,585
T1-103488,ST-272,38,SI-12817,486255,587
T1-103489,ST-273,35,SI-12818,486257,589
T1-103490,ST-274,17,SI-12819,486259,591
T1-103491,ST-275,34,SI-12820,486261,593
T1-103492,ST-276,39,SI-12821,486263,595
T1-103493,ST-277,39,SI-12822,486265,597
T1-103494,ST-278,33,SI-12823,486267,599
T1-103495,ST-279,36,SI-12824,486269,601
T1-103496,ST-280,35,SI-12825,486271,603
T1-103497,ST-281,32,SI-12826,486273,605
T1-103498,ST-282,32,SI-12827,486275,607
T1-103499,ST-283,36,SI-12828,486277,609
T1-103500,ST-284,29,SI-12829,486279,611
T1-103501,ST-285,20,SI-12830,486281,613
T1-103502,ST-286,13,SI-12831,486283,615
T1-103503,ST-287,12,SI-12832,486285,617
T1-103504,ST-288,40,SI-12833,486287,619
T1-103505,ST-289,16,SI-12834,486289,621
T1-103506,ST-290,19,SI-12835,486291,623
T1-103507,ST-291,40,SI-12836,486293,625
T1-103508,ST-292,35,SI-12837,486295,627
T1-103509,ST-293,25,SI-12838,486297,629
T1-103510,ST-294,35,SI-12839,486299,631
T1-103511,ST-295,35,SI-12840,486301,633
T1-103512,ST-296,15,SI-12841,486303,635
T1-103513,ST-297,21,SI-12842,486305,637
T1-103514,ST-298,14,SI-12843,486307,639
T1-103515,ST-299,40,SI-12844,486309,641
T1-103516,ST-300,26,SI-12845,486311,643
T1-103517,ST-301,35,SI-12846,486313,645
T1-103518,ST-302,17,SI-12847,486315,647
T1-103519,ST-303,32,SI-12848,486317,649
T1-103520,ST-304,12,SI-12849,486319,651
T1-103521,ST-305,28,SI-12850,486321,653
T1-103522,ST-306,19,SI-12851,486323,655
T1-103523,ST-307,35,SI-12852,486325,657
T1-103524,ST-308,35,SI-12853,486327,659
T1-103525,ST-309,34,SI-12854,486329,661
T1-103526,ST-310,23,SI-12855,486331,663
T1-103527,ST-311,23,SI-12856,486333,665
T1-103528,ST-312,19,SI-12857,486335,667
T1-103529,ST-313,27,SI-12858,486337,669
T1-103530,ST-314,39,SI-12859,486339,671
T1-103531,ST-315,16,SI-12860,486341,673
T1-103532,ST-316,18,SI-12861,486343,675
T1-103533,ST-317,36,SI-12862,486345,677
T1-103534,ST-318,40,SI-12863,486347,679
T1-103535,ST-319,13,SI-12864,486349,681
T1-103536,ST-320,36,SI-12865,486351,683
T1-103537,ST-321,13,SI-12866,486353,685
T1-103538,ST-322,20,SI-12867,486355,687
T1-103539,ST-323,19,SI-12868,486357,689
T1-103540,ST-324,25,SI-12869,486359,691
T1-103541,ST-325,22,SI-12870,486361,693
T1-103542,ST-326,14,SI-12871,486363,695
T1-103543,ST-327,23,SI-12872,486365,697
T1-103544,ST-328,17,SI-12873,486367,699
T1-103545,ST-329,29,SI-12874,486369,701
T1-103546,ST-330,40,SI-12875,486371,703
T1-103547,ST-331,18,SI-12876,486373,705
T1-103548,ST-332,31,SI-12877,486375,707
T1-103549,ST-333,27,SI-12878,486377,709
T1-103550,ST-334,27,SI-12879,486379,711
T1-103551,ST-335,17,SI-12880,486381,713
T1-103552,ST-336,29,SI-12881,486383,715
T1-103553,ST-337,35,SI-12882,486385,717
T1-103554,ST-338,29,SI-12883,486387,719
T1-103555,ST-339,23,SI-12884,486389,721
T1-103556,ST-340,15,SI-12885,486391,723
T1-103557,ST-341,40,SI-12886,486393,725
T1-103558,ST-342,23,SI-12887,486395,727
T1-103559,ST-343,33,SI-12888,486397,729
T1-103560,ST-344,13,SI-12889,486399,731
T1-103561,ST-345,31,SI-12890,486401,733
T1-103562,ST-346,22,SI-12891,486403,735
T1-103563,ST-347,33,SI-12892,486405,737
T1-103564,ST-348,27,SI-12893,486407,739
T1-103565,ST-349,32,SI-12894,486409,741
T1-103566,ST-350,30,SI-12895,486411,743
T1-103567,ST-351,26,SI-12896,486413,745
T1-103568,ST-352,30,SI-12897,486415,747
T1-103569,ST-353,39,SI-12898,486417,749
T1-103570,ST-354,18,SI-12899,486419,751
T1-103571,ST-355,24,SI-12900,486421,753
T1-103572,ST-356,17,SI-12901,486423,755
T1-103573,ST-357,19,SI-12902,486425,757
T1-103574,ST-358,28,SI-12903,486427,759
T1-103575,ST-359,17,SI-12904,486429,761
T1-103576,ST-360,21,SI-12905,486431,763
T1-103577,ST-361,32,SI-12906,486433,765
T1-103578,ST-362,26,SI-12907,486435,767
T1-103579,ST-363,25,SI-12908,486437,769
T1-103580,ST-364,28,SI-12909,486439,771
T1-103581,ST-365,34,SI-12910,486441,773
