max_case_type,min_cases_type,no_of_cases,avg_solving_day
Fraud,riots,47,6
riots,claims of negligence,49,11
marriage affairs,dowry demands,51,15
Divorce,robbery,53,7
claims of negligence,unfair dismissal,55,12
appeal against HR,discrimination,57,10
Workplace harassment,appeal against HR,59,6
Murder,Workplace harassment,61,14
robbery,Murder,63,7
dowry demands,theft,65,13
robbery,cybercrime,67,7
unfair dismissal,sedition,69,8
theft,Property dispute,71,11
cybercrime,marriage affairs,73,9
sedition,Divorce,75,14
Property dispute,Fraud,77,8
Fraud,riots,79,4
riots,claims of negligence,81,3
marriage affairs,dowry demands,83,7
Divorce,robbery,85,6
claims of negligence,unfair dismissal,87,9
appeal against HR,discrimination,89,7
Workplace harassment,appeal against HR,91,4
Murder,Workplace harassment,93,5
robbery,Murder,95,15
dowry demands,theft,97,14
robbery,cybercrime,99,15
unfair dismissal,sedition,101,4
theft,Property dispute,103,11
cybercrime,marriage affairs,105,13
sedition,Divorce,107,6
Property dispute,Fraud,109,13
Fraud,riots,111,3
riots,claims of negligence,113,3
marriage affairs,dowry demands,115,13
Divorce,robbery,117,3
claims of negligence,unfair dismissal,119,3
appeal against HR,discrimination,121,12
Workplace harassment,appeal against HR,123,13
Murder,Workplace harassment,125,15
robbery,Murder,127,8
dowry demands,theft,129,10
robbery,cybercrime,131,11
unfair dismissal,sedition,133,5
theft,Property dispute,135,3
cybercrime,marriage affairs,137,7
sedition,Divorce,139,9
Property dispute,Fraud,141,7
Fraud,riots,143,6
riots,claims of negligence,145,10
marriage affairs,dowry demands,147,15
Divorce,robbery,149,12
claims of negligence,unfair dismissal,151,5
appeal against HR,discrimination,153,11
Workplace harassment,appeal against HR,155,12
Murder,Workplace harassment,157,3
robbery,Murder,159,7
dowry demands,theft,161,12
robbery,cybercrime,163,14
unfair dismissal,sedition,165,13
theft,Property dispute,167,11
cybercrime,marriage affairs,169,3
sedition,Divorce,171,11
Property dispute,Fraud,173,8
Fraud,riots,175,5
riots,claims of negligence,177,12
marriage affairs,dowry demands,179,11
Divorce,robbery,181,10
claims of negligence,unfair dismissal,183,14
appeal against HR,discrimination,185,4
Workplace harassment,appeal against HR,187,13
Murder,Workplace harassment,189,14
robbery,Murder,191,4
dowry demands,theft,193,15
robbery,cybercrime,195,12
unfair dismissal,sedition,197,14
theft,Property dispute,199,3
cybercrime,marriage affairs,201,11
sedition,Divorce,203,6
Property dispute,Fraud,205,11
Fraud,riots,207,15
riots,claims of negligence,209,10
marriage affairs,dowry demands,211,8
Divorce,robbery,213,6
claims of negligence,unfair dismissal,215,15
appeal against HR,discrimination,217,10
Workplace harassment,appeal against HR,219,11
Murder,Workplace harassment,221,10
robbery,Murder,223,6
dowry demands,theft,225,13
robbery,cybercrime,227,7
unfair dismissal,sedition,229,5
theft,Property dispute,231,7
cybercrime,marriage affairs,233,9
sedition,Divorce,235,4
Property dispute,Fraud,237,15
Fraud,riots,239,12
riots,claims of negligence,241,6
marriage affairs,dowry demands,243,13
Divorce,robbery,245,4
claims of negligence,unfair dismissal,247,7
appeal against HR,discrimination,249,7
Workplace harassment,appeal against HR,251,10
Murder,Workplace harassment,253,5
robbery,Murder,255,11
dowry demands,theft,257,8
robbery,cybercrime,259,12
unfair dismissal,sedition,261,15
theft,Property dispute,263,11
