station_pincode,station_zone,city,state
485715,EAST,Mumbai,Maharashtra
485717,WEST,Delhi,Delhi
485719,SOUTH,Bangalore,Karnataka
485721,NORTH,Hyderabad,Andhra Pradesh
485723,CENTRAL,Ahmedabad,Arunachal Pradesh
485725,EAST,Chennai,Assam
485727,WEST,Kolkata,Bihar
485729,SOUTH,Surat,Chhattisgarh
485731,NORTH,Pune,Goa
485733,CENTRAL,Jaipur,Gujarat
485735,EAST,Lucknow,Haryana
485737,WEST,Kanpur,Himachal Pradesh
485739,SOUTH,Nagpur,Jharkhand
485741,NORTH,Indore,Karnataka
485743,CENTRAL,Thane,Kerala
485745,EAST,Bhopal,Madhya Pradesh
485747,WEST,Visakhapatnam,Maharashtra
485749,SOUTH,Vadodara,Manipur
485751,NORTH,Firozabad,Meghalaya
485753,CENTRAL,Ludhiana,Mizoram
485755,EAST,Rajkot,Nagaland
485757,WEST,Agra,Odisha
485759,SOUTH,Siliguri,Punjab
485761,NORTH,Nashik,Rajasthan
485763,CENTRAL,Faridabad,Sikkim
485765,EAST,Patna,Tamil Nadu
485767,WEST,Meerut,Telangana
485769,SOUTH,Kalyan-Dombivli,Tripura
485771,NORTH,Vasai-Virar,Uttar Pradesh
485773,CENTRAL,Varanasi,Uttarakhand
485775,EAST,Srinagar,West Bengal
485777,WEST,Dhanbad,Andaman and Nicobar Islands
485779,SOUTH,Jodhpur,Chandigarh
485781,NORTH,Amritsar,Dadra and Nagar Haveli and Daman and Diu
485783,CENTRAL,Raipur,Lakshadweep
485785,EAST,Allahabad,Delhi
485787,WEST,Coimbatore,Puducherry
485789,SOUTH,Jabalpur,Ladakh
485791,NORTH,Gwalior,Jammu and Kashmir
485793,CENTRAL,Vijayawada,Maharashtra
485795,EAST,Madurai,Delhi
485797,WEST,Guwahati,Karnataka
485799,SOUTH,Chandigarh,Andhra Pradesh
485801,NORTH,Hubli-Dharwad,Arunachal Pradesh
485803,CENTRAL,Amroha,Assam
485805,EAST,Moradabad,Bihar
485807,WEST,Gurgaon,Chhattisgarh
485809,SOUTH,Aligarh,Goa
485811,NORTH,Solapur,Gujarat
485813,CENTRAL,Ranchi,Haryana
485815,EAST,Jalandhar,Himachal Pradesh
485817,WEST,Tiruchirappalli,Jharkhand
485819,SOUTH,Bhubaneswar,Karnataka
485821,NORTH,Salem,Kerala
485823,CENTRAL,Mysore,Madhya Pradesh
485825,EAST,Thiruvananthapuram,Maharashtra
485827,WEST,Tiruppur,Manipur
485829,SOUTH,Gwalior,Meghalaya
485831,NORTH,Chandrapur,Mizoram
485833,CENTRAL,Mumbai,Nagaland
485835,EAST,Delhi,Odisha
485837,WEST,Bangalore,Punjab
485839,SOUTH,Hyderabad,Rajasthan
485841,NORTH,Ahmedabad,Sikkim
485843,CENTRAL,Chennai,Tamil Nadu
485845,EAST,Kolkata,Telangana
485847,WEST,Surat,Tripura
485849,SOUTH,Pune,Uttar Pradesh
485851,NORTH,Jaipur,Uttarakhand
485853,CENTRAL,Lucknow,West Bengal
485855,EAST,Kanpur,Andaman and Nicobar Islands
485857,WEST,Nagpur,Chandigarh
485859,SOUTH,Indore,Dadra and Nagar Haveli and Daman and Diu
485861,NORTH,Thane,Lakshadweep
485863,CENTRAL,Bhopal,Delhi
485865,EAST,Visakhapatnam,Puducherry
485867,WEST,Vadodara,Ladakh
485869,SOUTH,Firozabad,Jammu and Kashmir
485871,NORTH,Ludhiana,Maharashtra
485873,CENTRAL,Rajkot,Delhi
485875,EAST,Agra,Karnataka
485877,WEST,Siliguri,Andhra Pradesh
485879,SOUTH,Nashik,Arunachal Pradesh
485881,NORTH,Faridabad,Assam
485883,CENTRAL,Patna,Bihar
485885,EAST,Meerut,Chhattisgarh
485887,WEST,Kalyan-Dombivli,Goa
485889,SOUTH,Vasai-Virar,Gujarat
485891,NORTH,Varanasi,Haryana
485893,CENTRAL,Srinagar,Himachal Pradesh
485895,EAST,Dhanbad,Jharkhand
485897,WEST,Jodhpur,Karnataka
485899,SOUTH,Amritsar,Kerala
485901,NORTH,Raipur,Madhya Pradesh
485903,CENTRAL,Allahabad,Maharashtra
485905,EAST,Coimbatore,Manipur
485907,WEST,Jabalpur,Meghalaya
485909,SOUTH,Gwalior,Mizoram
485911,NORTH,Vijayawada,Nagaland
485913,CENTRAL,Madurai,Odisha
485915,EAST,Guwahati,Punjab
485917,WEST,Chandigarh,Rajasthan
485919,SOUTH,Hubli-Dharwad,Sikkim
485921,NORTH,Amroha,Tamil Nadu
485923,CENTRAL,Moradabad,Telangana
485925,EAST,Gurgaon,Tripura
485927,WEST,Aligarh,Uttar Pradesh
485929,SOUTH,Solapur,Uttarakhand
485931,NORTH,Ranchi,West Bengal
485933,CENTRAL,Jalandhar,Andaman and Nicobar Islands
485935,EAST,Tiruchirappalli,Chandigarh
485937,WEST,Bhubaneswar,Dadra and Nagar Haveli and Daman and Diu
485939,SOUTH,Salem,Lakshadweep
485941,NORTH,Mysore,Delhi
485943,CENTRAL,Thiruvananthapuram,Puducherry
485945,EAST,Tiruppur,Ladakh
485947,WEST,Gwalior,Jammu and Kashmir
485949,SOUTH,Chandrapur,Maharashtra
485951,NORTH,Mumbai,Delhi
485953,CENTRAL,Delhi,Karnataka
485955,EAST,Bangalore,Andhra Pradesh
485957,WEST,Hyderabad,Arunachal Pradesh
485959,SOUTH,Ahmedabad,Assam
485961,NORTH,Chennai,Bihar
485963,CENTRAL,Kolkata,Chhattisgarh
485965,EAST,Surat,Goa
485967,WEST,Pune,Gujarat
485969,SOUTH,Jaipur,Haryana
485971,NORTH,Lucknow,Himachal Pradesh
485973,CENTRAL,Kanpur,Jharkhand
485975,EAST,Nagpur,Karnataka
485977,WEST,Indore,Kerala
485979,SOUTH,Thane,Madhya Pradesh
485981,NORTH,Bhopal,Maharashtra
485983,CENTRAL,Visakhapatnam,Manipur
485985,EAST,Vadodara,Meghalaya
485987,WEST,Firozabad,Mizoram
485989,SOUTH,Ludhiana,Nagaland
485991,NORTH,Rajkot,Odisha
485993,CENTRAL,Agra,Punjab
485995,EAST,Siliguri,Rajasthan
485997,WEST,Nashik,Sikkim
485999,SOUTH,Faridabad,Tamil Nadu
486001,NORTH,Patna,Telangana
486003,CENTRAL,Meerut,Tripura
486005,EAST,Kalyan-Dombivli,Uttar Pradesh
486007,WEST,Vasai-Virar,Uttarakhand
486009,SOUTH,Varanasi,West Bengal
486011,NORTH,Srinagar,Andaman and Nicobar Islands
486013,CENTRAL,Dhanbad,Chandigarh
486015,EAST,Jodhpur,Dadra and Nagar Haveli and Daman and Diu
486017,WEST,Amritsar,Lakshadweep
486019,SOUTH,Raipur,Delhi
486021,NORTH,Allahabad,Puducherry
486023,CENTRAL,Coimbatore,Ladakh
486025,EAST,Jabalpur,Jammu and Kashmir
486027,WEST,Gwalior,Maharashtra
486029,SOUTH,Vijayawada,Delhi
486031,NORTH,Madurai,Karnataka
486033,CENTRAL,Guwahati,Andhra Pradesh
486035,EAST,Chandigarh,Arunachal Pradesh
486037,WEST,Hubli-Dharwad,Assam
486039,SOUTH,Amroha,Bihar
486041,NORTH,Moradabad,Chhattisgarh
486043,CENTRAL,Gurgaon,Goa
486045,EAST,Aligarh,Gujarat
486047,WEST,Solapur,Haryana
486049,SOUTH,Ranchi,Himachal Pradesh
486051,NORTH,Jalandhar,Jharkhand
486053,CENTRAL,Tiruchirappalli,Karnataka
486055,EAST,Bhubaneswar,Kerala
486057,WEST,Salem,Madhya Pradesh
486059,SOUTH,Mysore,Maharashtra
486061,NORTH,Thiruvananthapuram,Manipur
486063,CENTRAL,Tiruppur,Meghalaya
486065,EAST,Gwalior,Mizoram
486067,WEST,Chandrapur,Nagaland
486069,SOUTH,Mumbai,Odisha
486071,NORTH,Delhi,Punjab
486073,CENTRAL,Bangalore,Rajasthan
486075,EAST,Hyderabad,Sikkim
486077,WEST,Ahmedabad,Tamil Nadu
486079,SOUTH,Chennai,Telangana
486081,NORTH,Kolkata,Tripura
486083,CENTRAL,Surat,Uttar Pradesh
486085,EAST,Pune,Uttarakhand
486087,WEST,Jaipur,West Bengal
486089,SOUTH,Lucknow,Andaman and Nicobar Islands
486091,NORTH,Kanpur,Chandigarh
486093,CENTRAL,Nagpur,Dadra and Nagar Haveli and Daman and Diu
486095,EAST,Indore,Lakshadweep
486097,WEST,Thane,Delhi
486099,SOUTH,Bhopal,Puducherry
486101,NORTH,Visakhapatnam,Ladakh
486103,CENTRAL,Vadodara,Jammu and Kashmir
486105,EAST,Firozabad,Maharashtra
486107,WEST,Ludhiana,Delhi
486109,SOUTH,Rajkot,Karnataka
486111,NORTH,Agra,Andhra Pradesh
486113,CENTRAL,Siliguri,Arunachal Pradesh
486115,EAST,Nashik,Assam
486117,WEST,Faridabad,Bihar
486119,SOUTH,Patna,Chhattisgarh
486121,NORTH,Meerut,Goa
486123,CENTRAL,Kalyan-Dombivli,Gujarat
486125,EAST,Vasai-Virar,Haryana
486127,WEST,Varanasi,Himachal Pradesh
486129,SOUTH,Srinagar,Jharkhand
486131,NORTH,Dhanbad,Karnataka
486133,CENTRAL,Jodhpur,Kerala
486135,EAST,Amritsar,Madhya Pradesh
486137,WEST,Raipur,Maharashtra
486139,SOUTH,Allahabad,Manipur
486141,NORTH,Coimbatore,Meghalaya
486143,CENTRAL,Jabalpur,Mizoram
486145,EAST,Gwalior,Nagaland
486147,WEST,Vijayawada,Odisha
486149,SOUTH,Madurai,Punjab
486151,NORTH,Guwahati,Rajasthan
486153,CENTRAL,Chandigarh,Sikkim
486155,EAST,Hubli-Dharwad,Tamil Nadu
486157,WEST,Amroha,Telangana
486159,SOUTH,Moradabad,Tripura
486161,NORTH,Gurgaon,Uttar Pradesh
486163,CENTRAL,Aligarh,Uttarakhand
486165,EAST,Solapur,West Bengal
486167,WEST,Ranchi,Andaman and Nicobar Islands
486169,SOUTH,Jalandhar,Chandigarh
486171,NORTH,Tiruchirappalli,Dadra and Nagar Haveli and Daman and Diu
486173,CENTRAL,Bhubaneswar,Lakshadweep
486175,EAST,Salem,Delhi
486177,WEST,Mysore,Puducherry
486179,SOUTH,Thiruvananthapuram,Ladakh
486181,NORTH,Tiruppur,Jammu and Kashmir
486183,CENTRAL,Gwalior,Maharashtra
486185,EAST,Chandrapur,Delhi
486187,WEST,Mumbai,Karnataka
486189,SOUTH,Delhi,Andhra Pradesh
486191,NORTH,Bangalore,Arunachal Pradesh
486193,CENTRAL,Hyderabad,Assam
486195,EAST,Ahmedabad,Bihar
486197,WEST,Chennai,Chhattisgarh
486199,SOUTH,Kolkata,Goa
486201,NORTH,Surat,Gujarat
486203,CENTRAL,Pune,Haryana
486205,EAST,Jaipur,Himachal Pradesh
